Model Name产品名称（默认调用当前生产程序名）,Line Number 线体号（有界面可以自定义设置）,,,,,,,,
MYC-Y6ULY2V2-256N256D-50-I-AKEDL,0,,,,,,,,
Board Status（整板检测结果）,Pass（整板检测结果：GOOD，PASS，NG),Board BarCode 整板条码,NOREAD（条码内容：设备自动获取，没有条码时输出NOREAD）,,,,,,
ArrayID（拼版序号）,1,ArrayStatus,Good,ArrayBarCode（拼版条码）,有制作拼版条码时输出拼版条码内容，没有拼版条码时输出为空,,,,
ArrayID,2,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,3,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,4,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,5,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,6,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,7,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,8,ArrayStatus,Good,ArrayBarCode,,,,,
MYC-Y6ULY2V2-256N256D-50-I-AKEDL(2022-10-21 11:35:51 - 2022-10-21 11:36:04),,当前产品测试时间,,,,,,,
Total（整板元件数量）,711,NG（NG元件数量）,0,UserOK（人工复判OK元件数量）,3,Good（设备检测OK元件数量）,708,,
WorkTime测试时间,ImagePath（元件图片保存路径）,Board Barcode（整板条码）,Array Index（拼板序号）,Array BarCode（拼板条码）, Package Type（元件封装类型）,Component Index（元件料号）,Part Designate（元件位置号）,Result（元件检测结果）,Defect（不良类型）
2022/10/21 11:35,,NOREAD,4,,NULL,102613,C149,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,102825,C16,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,102729,C17,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,172935,C2,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103160,C23,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,102810,C24,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,105005,C29,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,105056,C31,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103249,C34,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103325,C37,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,104940,C38,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103349,C43,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,104418,C44,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103603,C45,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,6367,C46,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,6433,C47,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,172945,C5,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,104323,C50,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103612,C51,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103892,C52,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103948,C55,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103991,C56,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,6966,C57,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,103961,C58,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,6454,C59,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,104763,C61,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,312081,C62,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,104998,C63,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,105076,C67,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,6766,C69,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,2340,C7,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,105128,C71,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,3540,C72,Good,
