JobName,JobVersion,PCBID,PCBBarcode,PadID,ShapeType,ShapeID,PosX,PosY,SizeX,SizeY,Rotation,ABSArea,ABSVolume,ABSHeight,PerArea,PerVolume,PerHeight,ShiftX,PerShiftX,ShiftY,PerShiftY,JudgeRes,DefectType,Check,CheckArea,AreaU,AreaL,CheckVol,VolU,VolL,CheckHeight,HeightU,HeightL,CheckOffset,ShiftXU,ShiftXUPercent,ShiftYU,ShiftYUPercent,CheckShape,ShapeDeltaU,CheckStencilHeight,StencilHeight,CheckBridge,BridgeWidth,BridgeLength,BridgeHeight,ComponentID,PackageType,PinNumber,PadGroup,ArrayID,Squeege,SqueegeID,LotNo,ArrayBarcode,LineNo,InspectTimeStamp,ComponentIDAverageHeight,PadArea,ABSShape,LaneNo,AreaResult,VolumeResult,HeightResult,AreaStandard,VolumeStandard,AreaSection
BFB-0025-B3A502757,v202305181423470001900018,26758,,389,Poly,2,130129.0,-18200.0,700.0,200.0,0,120843.0,15066600.0,124.7,87.7%,91.1%,103.9%,44.0,6.3%,20.1,10.1%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,5,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,24.9,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,390,Poly,2,127529.0,-18200.0,700.0,200.0,0,113042.0,13632800.0,120.6,82.1%,82.5%,100.5%,36.8,5.3%,23.9,11.9%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,6,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,24.1,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,394,Poly,2,127529.0,-18600.0,700.0,200.0,0,132862.0,17590400.0,132.4,96.4%,106.4%,110.3%,11.9,1.7%,22.4,11.2%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,10,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,26.5,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,395,Poly,2,127529.0,-19000.0,700.0,200.0,0,119569.0,13863400.0,115.9,86.8%,83.9%,96.6%,41.2,5.9%,21.3,10.7%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,11,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,23.2,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,396,Poly,2,127529.0,-19400.0,700.0,200.0,0,128105.0,16061300.0,125.4,93.0%,97.2%,104.5%,21.7,3.1%,22.3,11.1%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,12,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,25.1,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,397,Poly,1,131142.0,-26080.0,350.0,300.0,0,87581.8,10624100.0,121.3,91.0%,92.0%,101.1%,53.2,15.2%,23.7,7.9%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,13,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,24.3,1,Good,Good,Good,96285.0,11554200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,398,Poly,1,131742.0,-26080.0,350.0,300.0,0,83685.4,11530900.0,137.8,86.9%,99.8%,114.8%,27.8,7.9%,30.2,10.1%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,14,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,27.6,1,Good,Good,Good,96285.0,11554200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,399,Poly,5,129979.0,-25930.0,500.0,800.0,90,388904.0,50602000.0,130.1,99.4%,107.8%,108.4%,37.0,7.4%,19.4,2.4%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,15,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,26.0,1,Good,Good,Good,391199.9,46943990.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,401,Poly,2,130129.0,-19400.0,700.0,200.0,0,130494.0,16546800.0,126.8,94.7%,100.1%,105.7%,29.8,4.3%,26.8,13.4%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,17,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,25.4,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,402,Poly,2,130129.0,-19000.0,700.0,200.0,0,121327.0,16416100.0,135.3,88.1%,99.3%,112.8%,10.8,1.5%,19.0,9.5%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,18,1805,16,Front,,,,SMT01,2023-05-23 10:08:21,128.7,0.0,27.1,1,Good,Good,Good,137760.0,16531200.0,0.0
